tid,vet75x80,citizen,gq,speakeng,sex,steppop,subfam,cbsftype,vet55x64,marst,vetstat,migpuma,statefip,vetother,occ1990,CONDITION
17289,1,9,9,0,0,1,0,0,0,0,8,1,0,0,0,
17290,1,9,9,0,0,1,0,0,0,0,8,6,0,0,0,
17291,1,9,9,0,0,1,0,0,0,0,8,6,0,0,0,
17292,1,9,9,0,0,1,0,0,0,0,8,6,0,0,0,
17293,1,9,9,0,0,1,0,0,0,0,8,6,0,0,0,
17294,1,9,9,0,0,1,0,0,0,0,8,7,0,0,0,
17295,1,9,9,0,0,1,0,0,0,0,8,8,0,0,0,
17296,1,9,9,0,0,1,0,0,0,0,8,10,0,0,0,
17297,1,9,9,0,0,1,0,0,0,0,8,10,0,0,0,
17298,1,9,9,0,0,1,0,0,0,0,8,10,0,0,0,
17299,1,9,9,0,0,1,0,0,0,0,8,10,0,0,0,
17300,1,9,9,0,0,1,0,0,0,0,8,11,0,0,0,
17301,1,9,9,0,0,1,0,0,0,0,8,11,0,0,0,
17302,1,9,9,0,0,1,0,0,0,0,8,11,0,0,0,
17303,1,9,9,0,0,1,0,0,0,0,8,12,0,0,0,
17304,1,9,9,0,0,1,0,0,0,0,8,12,0,0,0,
17305,1,9,9,0,0,1,0,0,0,0,8,12,0,0,0,
17306,1,9,9,0,0,1,0,0,0,0,8,13,0,0,0,
17307,1,9,9,0,0,1,0,0,0,0,8,13,0,0,0,
17308,1,9,9,0,0,1,0,0,0,0,8,14,0,0,0,
17309,1,9,9,0,0,1,0,0,0,0,8,14,0,0,0,
17310,1,9,9,0,0,1,0,0,0,0,8,14,0,0,0,
17311,1,9,9,0,0,1,0,0,0,0,8,16,0,0,0,
17312,1,9,9,0,0,1,0,0,0,0,8,16,0,0,0,
17313,1,9,9,0,0,1,0,0,0,0,8,17,0,0,0,
17314,1,9,9,0,0,1,0,0,0,0,8,17,0,0,0,
17315,1,9,9,0,0,1,0,0,0,0,8,18,0,0,0,
17316,1,9,9,0,0,1,0,0,0,0,8,18,0,0,0,
17317,1,9,9,0,0,1,0,0,0,0,8,18,0,0,0,
17318,1,9,9,0,0,1,0,0,0,0,8,18,0,0,0,
17319,1,9,9,0,0,1,0,0,0,0,8,18,0,0,0,
17320,1,9,9,0,0,1,0,0,0,0,8,19,0,0,0,
17321,1,9,9,0,0,1,0,0,0,0,8,19,0,0,0,
17322,1,9,9,0,0,1,0,0,0,0,8,19,0,0,0,
17323,1,9,9,0,0,1,0,0,0,0,8,19,0,0,0,
17324,1,9,9,0,0,1,0,0,0,0,8,20,0,0,0,
17325,1,9,9,0,0,1,0,0,0,0,8,20,0,0,0,
17326,1,9,9,0,0,1,0,0,0,0,8,20,0,0,0,
17327,1,9,9,0,0,1,0,0,0,0,8,20,0,0,0,
17328,1,9,9,0,0,1,0,0,0,0,8,20,0,0,0,
17329,1,9,9,0,0,1,0,0,0,0,8,21,0,0,0,
17330,1,9,9,0,0,1,0,0,0,0,8,21,0,0,0,
17331,1,9,9,0,0,1,0,0,0,0,8,21,0,0,0,
17332,1,9,9,0,0,1,0,0,0,0,8,21,0,0,0,
17333,1,9,9,0,0,1,0,0,0,0,8,21,0,0,0,
17334,1,9,9,0,0,1,0,0,0,0,8,22,0,0,0,
17335,1,9,9,0,0,1,0,0,0,0,8,22,0,0,0,
17336,1,9,9,0,0,1,0,0,0,0,8,22,0,0,0,
17337,1,9,9,0,0,1,0,0,0,0,8,22,0,0,0,
17338,1,9,9,0,0,1,0,0,0,0,8,22,0,0,0,
17339,1,9,9,0,0,1,0,0,0,0,8,23,0,0,0,
17340,1,9,9,0,0,1,0,0,0,0,8,23,0,0,0,
17341,1,9,9,0,0,1,0,0,0,0,8,24,0,0,0,
17342,1,9,9,0,0,1,0,0,0,0,8,24,0,0,0,
17343,1,9,9,0,0,1,0,0,0,0,8,24,0,0,0,
17344,1,9,9,0,0,1,0,0,0,0,8,25,0,0,0,
17345,1,9,9,0,0,1,0,0,0,0,8,25,0,0,0,
17346,1,9,9,0,0,1,0,0,0,0,8,25,0,0,0,
17347,1,9,9,0,0,1,0,0,0,0,8,25,0,0,0,
17348,1,9,9,0,0,1,0,0,0,0,8,26,0,0,0,
17349,1,9,9,0,0,1,0,0,0,0,8,27,0,0,0,
17350,1,9,9,0,0,1,0,0,0,0,8,27,0,0,0,
17351,1,9,9,0,0,1,0,0,0,0,8,28,0,0,0,
17352,1,9,9,0,0,1,0,0,0,0,8,29,0,0,0,
17353,1,9,9,0,0,1,0,0,0,0,8,29,0,0,0,
17354,1,9,9,0,0,1,0,0,0,0,8,31,0,0,0,
17355,1,9,9,0,0,1,0,0,0,0,8,31,0,0,0,
17356,1,9,9,0,0,1,0,0,0,0,8,33,0,0,0,
17357,1,9,9,0,0,1,0,0,0,0,8,33,0,0,0,
17358,1,9,9,0,0,1,0,0,0,0,8,33,0,0,0,
17359,1,9,9,0,0,1,0,0,0,0,8,33,0,0,0,
17360,1,9,9,0,0,1,0,0,0,0,8,34,0,0,0,
17361,1,9,9,0,0,1,0,0,0,0,8,34,0,0,0,
17362,1,9,9,0,0,1,0,0,0,0,8,34,0,0,0,
17363,1,9,9,0,0,1,0,0,0,0,8,34,0,0,0,
17364,1,9,9,0,0,1,0,0,0,0,8,35,0,0,0,
17365,1,9,9,0,0,1,0,0,0,0,8,35,0,0,0,
17366,1,9,9,0,0,1,0,0,0,0,8,36,0,0,0,
17367,1,9,9,0,0,1,0,0,0,0,8,36,0,0,0,
17368,1,9,9,0,0,1,0,0,0,0,8,38,0,0,0,
17369,1,9,9,0,0,1,0,0,0,0,8,38,0,0,0,
17370,1,9,9,0,0,1,0,0,0,0,8,38,0,0,0,
17371,1,9,9,0,0,1,0,0,0,0,8,38,0,0,0,
17372,1,9,9,0,0,1,0,0,0,0,8,38,0,0,0,
17373,1,9,9,0,0,1,0,0,0,0,8,38,0,0,0,
17374,1,9,9,0,0,1,0,0,0,0,8,39,0,0,0,
17375,1,9,9,0,0,1,0,0,0,0,8,39,0,0,0,
17376,1,9,9,0,0,1,0,0,0,0,8,40,0,0,0,
17377,1,9,9,0,0,1,0,0,0,0,8,40,0,0,0,
17378,1,9,9,0,0,1,0,0,0,0,8,40,0,0,0,
17379,1,9,9,0,0,1,0,0,0,0,8,41,0,0,0,
17380,1,9,9,0,0,1,0,0,0,0,8,41,0,0,0,
17381,1,9,9,0,0,1,0,0,0,0,8,41,0,0,0,
17382,1,9,9,0,0,1,0,0,0,0,8,41,0,0,0,
17383,1,9,9,0,0,1,0,0,0,0,8,41,0,0,0,
17384,1,9,9,0,0,1,0,0,0,0,8,41,0,0,0,
17385,1,9,9,0,0,1,0,0,0,0,8,42,0,0,0,
17386,1,9,9,0,0,1,0,0,0,0,8,42,0,0,0,
17387,1,9,9,0,0,1,0,0,0,0,8,42,0,0,0,
17388,1,9,9,0,0,1,0,0,0,0,8,42,0,0,0,
17389,1,9,9,0,0,1,0,0,0,0,8,44,0,0,0,
17390,1,9,9,0,0,1,0,0,0,0,8,44,0,0,0,
17391,1,9,9,0,0,1,0,0,0,0,8,44,0,0,0,
17392,1,9,9,0,0,1,0,0,0,0,8,44,0,0,0,
17393,1,9,9,0,0,1,0,0,0,0,8,45,0,0,0,
17394,1,9,9,0,0,1,0,0,0,0,8,45,0,0,0,
17395,1,9,9,0,0,1,0,0,0,0,8,45,0,0,0,
17396,1,9,9,0,0,1,0,0,0,0,8,45,0,0,0,
17397,1,9,9,0,0,1,0,0,0,0,8,47,0,0,0,
17398,1,9,9,0,0,1,0,0,0,0,8,47,0,0,0,
17399,1,9,9,0,0,1,0,0,0,0,8,49,0,0,0,
17400,1,9,9,0,0,1,0,0,0,0,8,49,0,0,0,
17401,1,9,9,0,0,1,0,0,0,0,8,49,0,0,0,
17402,1,9,9,0,0,1,0,0,0,0,8,49,0,0,0,
17403,1,9,9,0,0,1,0,0,0,0,8,50,0,0,0,
17404,1,9,9,0,0,1,0,0,0,0,8,50,0,0,0,
17405,1,9,9,0,0,1,0,0,0,0,8,50,0,0,0,
17406,1,9,9,0,0,1,0,0,0,0,8,50,0,0,0,
17407,1,9,9,0,0,1,0,0,0,0,8,52,0,0,0,
17408,1,9,9,0,0,1,0,0,0,0,8,53,0,0,0,
17409,1,9,9,0,0,1,0,0,0,0,8,53,0,0,0,
17410,1,9,9,0,0,1,0,0,0,0,8,54,0,0,0,
17411,1,9,9,0,0,1,0,0,0,0,8,54,0,0,0,
17412,1,9,9,0,0,1,0,0,0,0,8,55,0,0,0,
17413,1,9,9,0,0,1,0,0,0,0,8,55,0,0,0,
17414,1,9,9,0,0,1,0,0,0,0,8,55,0,0,0,
17415,1,9,9,0,0,1,0,0,0,0,8,55,0,0,0,
17416,1,9,9,0,0,1,0,0,0,0,8,55,0,0,0,
17417,1,9,9,0,0,1,0,0,0,0,8,56,0,0,0,
17418,1,9,9,0,0,1,0,0,0,0,8,56,0,0,0,
17419,1,9,9,0,0,1,0,0,0,0,8,56,0,0,0,
17420,1,9,9,0,0,1,0,0,0,0,8,58,0,0,0,
17421,1,9,9,0,0,1,0,0,0,0,8,59,0,0,0,
17422,1,9,9,0,0,1,0,0,0,0,8,59,0,0,0,
17423,1,9,9,0,0,1,0,0,0,0,8,59,0,0,0,
17424,1,9,9,0,0,1,0,0,0,0,8,59,0,0,0,
17425,1,9,9,0,0,1,0,0,0,0,8,60,0,0,0,
17426,1,9,9,0,0,1,0,0,0,0,8,60,0,0,0,
17427,1,9,9,0,0,1,0,0,0,0,8,60,0,0,0,
17428,1,9,9,0,0,1,0,0,0,0,8,60,0,0,0,
17429,1,9,9,0,0,1,0,0,0,0,8,60,0,0,0,
17431,1,9,9,0,0,1,0,0,0,0,8,62,0,0,0,
17432,1,9,9,0,0,1,0,0,0,0,8,62,0,0,0,
17433,1,9,9,0,0,1,0,0,0,0,8,63,0,0,0,
17434,1,9,9,0,0,1,0,0,0,0,8,63,0,0,0,
17435,1,9,9,0,0,1,0,0,0,0,8,63,0,0,0,
17436,1,9,9,0,0,1,0,0,0,0,8,64,0,0,0,
17437,1,9,9,0,0,1,0,0,0,0,8,65,0,0,0,
17438,1,9,9,0,0,1,0,0,0,0,8,65,0,0,0,
17439,1,9,9,0,0,1,0,0,0,0,8,65,0,0,0,
17440,1,9,9,0,0,1,0,0,0,0,8,65,0,0,0,
17441,1,9,9,0,0,1,0,0,0,0,8,66,0,0,0,
17442,1,9,9,0,0,1,0,0,0,0,8,66,0,0,0,
17443,1,9,9,0,0,1,0,0,0,0,8,66,0,0,0,
17444,1,9,9,0,0,1,0,0,0,0,8,66,0,0,0,
17445,1,9,9,0,0,1,0,0,0,0,8,66,0,0,0,
17446,1,9,9,0,0,1,0,0,0,0,8,67,0,0,0,
17447,1,9,9,0,0,1,0,0,0,0,8,67,0,0,0,
17448,1,9,9,0,0,1,0,0,0,0,8,67,0,0,0,
17449,1,9,9,0,0,1,0,0,0,0,8,67,0,0,0,
17450,1,9,9,0,0,1,0,0,0,0,8,68,0,0,0,
17451,1,9,9,0,0,1,0,0,0,0,8,68,0,0,0,
17452,1,9,9,0,0,1,0,0,0,0,8,68,0,0,0,
17453,1,9,9,0,0,1,0,0,0,0,8,69,0,0,0,
17454,1,9,9,0,0,1,0,0,0,0,8,69,0,0,0,
17455,1,9,9,0,0,1,0,0,0,0,8,69,0,0,0,
17456,1,9,9,0,0,1,0,0,0,0,8,70,0,0,0,
17457,1,9,9,0,0,1,0,0,0,0,8,70,0,0,0,
17458,1,9,9,0,0,1,0,0,0,0,8,70,0,0,0,
17459,1,9,9,0,0,1,0,0,0,0,8,70,0,0,0,
17460,1,9,9,0,0,1,0,0,0,0,8,70,0,0,0,
